question,sql
Show price from products where category >= 40,SELECT price FROM products WHERE category >= 40;
List all category from products,SELECT category FROM products;
Find all records in orders where order_id < 80,SELECT * FROM orders WHERE order_id < 80;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
Show order_id from orders where date = 30,SELECT order_id FROM orders WHERE date = 30;
Show product_id from products where price <= 40,SELECT product_id FROM products WHERE price <= 40;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Count all rows in orders,SELECT COUNT(*) FROM orders;
List all status from orders,SELECT status FROM orders;
Find average membership in customers,SELECT AVG(membership) FROM customers;
Find maximum department in students,SELECT MAX(department) FROM students;
Find average customer_id in customers,SELECT AVG(customer_id) FROM customers;
Count all rows in students,SELECT COUNT(*) FROM students;
Count all rows in students,SELECT COUNT(*) FROM students;
Find maximum city in customers,SELECT MAX(city) FROM customers;
Show all orders,SELECT * FROM orders;
Show product_id from products where stock = 80,SELECT product_id FROM products WHERE stock = 80;
Find minimum salary in employees,SELECT MIN(salary) FROM employees;
Show all employees,SELECT * FROM employees;
Find minimum salary in employees,SELECT MIN(salary) FROM employees;
List all id from employees,SELECT id FROM employees;
Find all records in customers where age < 50,SELECT * FROM customers WHERE age < 50;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all customers ordered by city,SELECT * FROM customers ORDER BY city;
Show amount from orders where order_id >= 90,SELECT amount FROM orders WHERE order_id >= 90;
Count all rows in employees,SELECT COUNT(*) FROM employees;
List all department from students,SELECT department FROM students;
Find minimum status in orders,SELECT MIN(status) FROM orders;
Find all records in customers where customer_id > 10,SELECT * FROM customers WHERE customer_id > 10;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
List all department from students,SELECT department FROM students;
Show all employees,SELECT * FROM employees;
List all amount from orders,SELECT amount FROM orders;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show id from employees where department <= 10,SELECT id FROM employees WHERE department <= 10;
Find minimum department in students,SELECT MIN(department) FROM students;
Find all records in customers where city >= 60,SELECT * FROM customers WHERE city >= 60;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Show all customers ordered by membership,SELECT * FROM customers ORDER BY membership;
Show salary from employees where name > 90,SELECT salary FROM employees WHERE name > 90;
Count all rows in products,SELECT COUNT(*) FROM products;
Find all records in employees where salary = 50,SELECT * FROM employees WHERE salary = 50;
List all department from students,SELECT department FROM students;
Show name from employees where id < 20,SELECT name FROM employees WHERE id < 20;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Count all rows in students,SELECT COUNT(*) FROM students;
Count all rows in customers,SELECT COUNT(*) FROM customers;
List all salary from employees,SELECT salary FROM employees;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Show all students ordered by age,SELECT * FROM students ORDER BY age;
List all marks from students,SELECT marks FROM students;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all products,SELECT * FROM products;
Show all customers ordered by name,SELECT * FROM customers ORDER BY name;
Count all rows in products,SELECT COUNT(*) FROM products;
Find minimum stock in products,SELECT MIN(stock) FROM products;
Find minimum id in students,SELECT MIN(id) FROM students;
Find all records in products where stock > 30,SELECT * FROM products WHERE stock > 30;
Show all orders,SELECT * FROM orders;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Show age from students where department <= 80,SELECT age FROM students WHERE department <= 80;
Find minimum membership in customers,SELECT MIN(membership) FROM customers;
Show all students ordered by name,SELECT * FROM students ORDER BY name;
Find maximum category in products,SELECT MAX(category) FROM products;
Find average marks in students,SELECT AVG(marks) FROM students;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Find maximum product_id in products,SELECT MAX(product_id) FROM products;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
Find average membership in customers,SELECT AVG(membership) FROM customers;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Find minimum name in customers,SELECT MIN(name) FROM customers;
List all status from orders,SELECT status FROM orders;
Find maximum name in products,SELECT MAX(name) FROM products;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Find minimum age in employees,SELECT MIN(age) FROM employees;
Count all rows in products,SELECT COUNT(*) FROM products;
Find all records in students where marks = 50,SELECT * FROM students WHERE marks = 50;
Show name from products where category > 50,SELECT name FROM products WHERE category > 50;
Show id from students where name >= 90,SELECT id FROM students WHERE name >= 90;
Show product_id from products where category >= 60,SELECT product_id FROM products WHERE category >= 60;
Find average customer_id in customers,SELECT AVG(customer_id) FROM customers;
Find minimum department in students,SELECT MIN(department) FROM students;
Find average name in customers,SELECT AVG(name) FROM customers;
Find all records in employees where id >= 100,SELECT * FROM employees WHERE id >= 100;
Find maximum order_id in orders,SELECT MAX(order_id) FROM orders;
Show all students,SELECT * FROM students;
Show all orders ordered by amount,SELECT * FROM orders ORDER BY amount;
Show all customers ordered by name,SELECT * FROM customers ORDER BY name;
Find all records in students where age = 90,SELECT * FROM students WHERE age = 90;
Count all rows in products,SELECT COUNT(*) FROM products;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Find average membership in customers,SELECT AVG(membership) FROM customers;
Show name from employees where name = 30,SELECT name FROM employees WHERE name = 30;
Find average product_id in products,SELECT AVG(product_id) FROM products;
List all customer_id from orders,SELECT customer_id FROM orders;
Find maximum salary in employees,SELECT MAX(salary) FROM employees;
Show age from employees where salary >= 10,SELECT age FROM employees WHERE salary >= 10;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Show amount from orders where order_id <= 100,SELECT amount FROM orders WHERE order_id <= 100;
Find average amount in orders,SELECT AVG(amount) FROM orders;
Find all records in products where price = 70,SELECT * FROM products WHERE price = 70;
List all order_id from orders,SELECT order_id FROM orders;
Find minimum stock in products,SELECT MIN(stock) FROM products;
Find average name in employees,SELECT AVG(name) FROM employees;
Show all orders ordered by status,SELECT * FROM orders ORDER BY status;
List all name from employees,SELECT name FROM employees;
List all department from students,SELECT department FROM students;
Find minimum stock in products,SELECT MIN(stock) FROM products;
Show all orders ordered by status,SELECT * FROM orders ORDER BY status;
Count all rows in products,SELECT COUNT(*) FROM products;
Show all orders ordered by status,SELECT * FROM orders ORDER BY status;
Find all records in orders where customer_id = 100,SELECT * FROM orders WHERE customer_id = 100;
Show marks from students where name <= 100,SELECT marks FROM students WHERE name <= 100;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Find average name in products,SELECT AVG(name) FROM products;
Find all records in students where marks = 20,SELECT * FROM students WHERE marks = 20;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Show date from orders where customer_id <= 80,SELECT date FROM orders WHERE customer_id <= 80;
Find all records in employees where department > 20,SELECT * FROM employees WHERE department > 20;
Find average category in products,SELECT AVG(category) FROM products;
Count all rows in products,SELECT COUNT(*) FROM products;
List all id from employees,SELECT id FROM employees;
Find all records in products where category <= 60,SELECT * FROM products WHERE category <= 60;
Show customer_id from customers where customer_id < 30,SELECT customer_id FROM customers WHERE customer_id < 30;
Count all rows in products,SELECT COUNT(*) FROM products;
Count all rows in products,SELECT COUNT(*) FROM products;
List all amount from orders,SELECT amount FROM orders;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Show amount from orders where date > 100,SELECT amount FROM orders WHERE date > 100;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Find maximum name in products,SELECT MAX(name) FROM products;
Find minimum age in students,SELECT MIN(age) FROM students;
List all customer_id from orders,SELECT customer_id FROM orders;
